ville,pays,lat,lon,timestamp,aqi,co,no,no2,o3,so2,pm2_5,pm10,nh3
Antananarivo,Madagascar,-18.8792,47.5079,2026-02-27T05:00:00+00:00,1,124.45,0.23,0.69,4.61,0.14,2.39,4.13,0.41
Antananarivo,Madagascar,-18.8792,47.5079,2026-02-27T06:00:00+00:00,1,130.33,0.28,0.67,6.25,0.15,2.64,4.84,0.44
Antananarivo,Madagascar,-18.8792,47.5079,2026-02-27T07:00:00+00:00,1,107.93,0.11,0.45,12.06,0.16,1.59,3.19,0.43
Antananarivo,Madagascar,-18.8792,47.5079,2026-02-27T08:00:00+00:00,1,102.37,0.07,0.38,13.95,0.17,1.42,2.92,0.43
Antananarivo,Madagascar,-18.8792,47.5079,2026-02-27T09:00:00+00:00,1,101.97,0.05,0.34,14.97,0.18,1.44,2.93,0.48
Antananarivo,Madagascar,-18.8792,47.5079,2026-02-27T10:00:00+00:00,1,91.55,0.04,0.31,16.17,0.2,1.04,2.13,0.37
Antananarivo,Madagascar,-18.8792,47.5079,2026-02-27T11:00:00+00:00,1,94.28,0.04,0.35,15.55,0.21,1.11,2.27,0.37
Antananarivo,Madagascar,-18.8792,47.5079,2026-02-27T12:00:00+00:00,1,97.71,0.03,0.4,14.82,0.22,1.22,2.48,0.36
Antananarivo,Madagascar,-18.8792,47.5079,2026-02-27T13:00:00+00:00,1,98.89,0.03,0.44,14.14,0.22,1.29,2.55,0.35
Antananarivo,Madagascar,-18.8792,47.5079,2026-02-27T14:00:00+00:00,1,100.34,0.02,0.51,13.52,0.22,1.34,2.63,0.35
Antananarivo,Madagascar,-18.8792,47.5079,2026-02-27T15:00:00+00:00,1,102.07,0.01,0.6,12.9,0.22,1.41,2.82,0.37
Antananarivo,Madagascar,-18.8792,47.5079,2026-02-27T16:00:00+00:00,1,108.18,0.01,0.76,11.22,0.22,1.65,3.51,0.44
Antananarivo,Madagascar,-18.8792,47.5079,2026-02-27T17:00:00+00:00,1,120.02,0.01,0.95,9.01,0.21,2.05,4.53,0.52
Antananarivo,Madagascar,-18.8792,47.5079,2026-02-27T18:00:00+00:00,1,130.8,0.02,1.07,7.33,0.21,2.41,5.11,0.57
Antananarivo,Madagascar,-18.8792,47.5079,2026-02-27T19:00:00+00:00,1,139.28,0.02,1.15,6.06,0.2,2.67,5.38,0.6
Antananarivo,Madagascar,-18.8792,47.5079,2026-02-27T20:00:00+00:00,1,143.53,0.02,1.17,5.23,0.17,2.75,5.12,0.49
Antananarivo,Madagascar,-18.8792,47.5079,2026-02-27T21:00:00+00:00,1,141.13,0.02,1.11,4.77,0.12,2.55,4.26,0.36
Antananarivo,Madagascar,-18.8792,47.5079,2026-02-27T22:00:00+00:00,1,137.09,0.02,1.01,4.47,0.08,2.29,3.45,0.29
Antananarivo,Madagascar,-18.8792,47.5079,2026-02-27T23:00:00+00:00,1,134.78,0.02,0.91,4.1,0.06,2.13,3.05,0.27
Antananarivo,Madagascar,-18.8792,47.5079,2026-02-28T00:00:00+00:00,1,132.07,0.03,0.83,3.96,0.05,2.0,2.82,0.27
Antananarivo,Madagascar,-18.8792,47.5079,2026-02-28T01:00:00+00:00,1,129.23,0.04,0.77,3.97,0.05,1.99,2.77,0.28
Antananarivo,Madagascar,-18.8792,47.5079,2026-02-28T02:00:00+00:00,1,127.09,0.04,0.75,3.96,0.05,2.05,2.83,0.31
Antananarivo,Madagascar,-18.8792,47.5079,2026-02-28T03:00:00+00:00,1,125.33,0.03,0.76,4.17,0.06,2.12,2.97,0.37
Antananarivo,Madagascar,-18.8792,47.5079,2026-02-28T04:00:00+00:00,1,123.02,0.09,0.72,4.99,0.08,2.16,3.45,0.43
Antananarivo,Madagascar,-18.8792,47.5079,2026-02-28T05:00:00+00:00,1,121.19,0.21,0.56,6.8,0.1,2.15,4.04,0.42
Antananarivo,Madagascar,-18.8792,47.5079,2026-02-28T06:00:00+00:00,1,116.99,0.18,0.46,10.83,0.11,2.1,4.17,0.47
Antananarivo,Madagascar,-18.8792,47.5079,2026-02-28T07:00:00+00:00,1,77.93,0.05,0.19,20.85,0.12,0.74,1.5,0.28
Antananarivo,Madagascar,-18.8792,47.5079,2026-02-28T08:00:00+00:00,1,70.03,0.03,0.14,22.42,0.11,0.52,1.02,0.24
Antananarivo,Madagascar,-18.8792,47.5079,2026-02-28T09:00:00+00:00,1,67.32,0.02,0.12,22.74,0.11,0.5,0.89,0.24
Antananarivo,Madagascar,-18.8792,47.5079,2026-02-28T10:00:00+00:00,1,65.56,0.01,0.11,24.04,0.1,0.5,0.73,0.21
Antananarivo,Madagascar,-18.8792,47.5079,2026-02-28T11:00:00+00:00,1,64.91,0.01,0.12,24.8,0.09,0.5,0.69,0.2
Antananarivo,Madagascar,-18.8792,47.5079,2026-02-28T12:00:00+00:00,1,65.12,0.01,0.13,24.53,0.09,0.5,0.7,0.2
Antananarivo,Madagascar,-18.8792,47.5079,2026-02-28T13:00:00+00:00,1,66.01,0.01,0.16,23.08,0.1,0.5,0.77,0.23
Antananarivo,Madagascar,-18.8792,47.5079,2026-02-28T14:00:00+00:00,1,68.67,0.01,0.24,21.24,0.12,0.5,0.98,0.27
Antananarivo,Madagascar,-18.8792,47.5079,2026-02-28T15:00:00+00:00,1,71.8,0.0,0.33,19.7,0.13,0.54,1.21,0.29
Antananarivo,Madagascar,-18.8792,47.5079,2026-02-28T16:00:00+00:00,1,75.93,0.0,0.43,17.52,0.14,0.68,1.62,0.33
Antananarivo,Madagascar,-18.8792,47.5079,2026-02-28T17:00:00+00:00,1,82.84,0.0,0.55,15.12,0.14,0.94,2.2,0.36
Antananarivo,Madagascar,-18.8792,47.5079,2026-02-28T18:00:00+00:00,1,89.42,0.0,0.63,13.11,0.14,1.19,2.6,0.36
Antananarivo,Madagascar,-18.8792,47.5079,2026-02-28T19:00:00+00:00,1,94.1,0.0,0.69,11.37,0.13,1.38,2.78,0.35
Antananarivo,Madagascar,-18.8792,47.5079,2026-02-28T20:00:00+00:00,1,96.6,0.0,0.7,10.17,0.11,1.46,2.73,0.31
Antananarivo,Madagascar,-18.8792,47.5079,2026-02-28T21:00:00+00:00,1,95.41,0.0,0.67,9.26,0.09,1.42,2.42,0.25
Antananarivo,Madagascar,-18.8792,47.5079,2026-02-28T22:00:00+00:00,1,93.15,0.0,0.61,8.83,0.07,1.3,2.06,0.22
Antananarivo,Madagascar,-18.8792,47.5079,2026-02-28T23:00:00+00:00,1,90.96,0.0,0.57,8.56,0.06,1.16,1.75,0.21
Antananarivo,Madagascar,-18.8792,47.5079,2026-03-01T00:00:00+00:00,1,88.81,0.0,0.53,8.49,0.05,1.04,1.51,0.19
Antananarivo,Madagascar,-18.8792,47.5079,2026-03-02T01:00:00+00:00,1,89.87,0.01,0.53,8.3,0.06,1.27,2.02,0.29
Antananarivo,Madagascar,-18.8792,47.5079,2026-03-02T02:00:00+00:00,1,91.92,0.01,0.56,7.14,0.06,1.33,2.1,0.32
Antananarivo,Madagascar,-18.8792,47.5079,2026-03-02T03:00:00+00:00,1,95.08,0.02,0.61,6.42,0.07,1.44,2.3,0.38
